block_id,line_group,block_number,service_id,service_day,depot_code,asset_class,asset_class_new,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,avg_kwh_per_km_medium,avg_kwh_per_km_heavy,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,medium_success_on_route_charge,soc_left_heavy_percent_on_route_charge,heavy_success_on_route_charge,total_energy_received_medium,total_energy_received_heavy
2159334,22,58,1,MF,VTC,HY40LF,40-ft,55.755472012111596,86.95763390453797,134.93427920217408,1.5596251052389696,2.420108275163785,74.58197980415994,66.07548241096205,SUCCESS,SUCCESS,74.58197980415993,SUCCESS,66.07548241096205,SUCCESS,0.0,0.0
2159335,22,53,1,MF,VTC,HY60LF,60-ft,325.4953815356894,533.1392104953966,837.4561659558741,1.6379317211201039,2.572866508903292,-4.528228811240525,-58.48513580777909,FAILURE,FAILURE,60.72782269785786,SUCCESS,27.113465128001696,SUCCESS,368.0441305113151,482.7761092778037
2159336,22,73,1,MF,VTC,HY40LF,40-ft,61.10985608963594,99.44381102348422,154.50845429034416,1.627295781512233,2.52837208557178,72.36811861285742,62.604883991073734,SUCCESS,SUCCESS,72.36811861285743,SUCCESS,62.60488399107372,SUCCESS,0.0,0.0
2159337,22,55,1,MF,VTC,HY60LF,60-ft,141.5536404711145,237.6503155903796,372.1026013281818,1.67887109649345,2.6287038615874607,47.86341922156391,24.024361466634442,SUCCESS,SUCCESS,50.22556006631436,SUCCESS,26.285637636211778,SUCCESS,13.322474364392463,12.753597596416256
2159338,22,56,1,MF,VTC,HY60LF,60-ft,239.64526820100735,395.8459083121136,621.432546819415,1.6517993920083986,2.5931350595171185,19.814555263809652,-20.183075677201245,FAILURE,FAILURE,58.31544993884009,SUCCESS,28.74672804972334,SUCCESS,217.14504596717165,275.9640930198549
2159339,22,52,1,MF,VTC,HY60LF,60-ft,185.2450702585366,304.2619348323003,477.19339898562845,1.64248330283585,2.5760113255356014,36.05284843398931,5.391241314604889,SUCCESS,FAILURE,61.02951452969619,SUCCESS,50.585098389452924,SUCCESS,140.8683967797869,254.8933539021429
2159340,22,50,1,MF,VTC,HY60LF,60-ft,213.60168176199957,349.2233772250312,548.0775476153643,1.6349280321404247,2.565885919503416,28.08096148492355,-7.176870144568139,SUCCESS,FAILURE,56.25321162273767,SUCCESS,40.99480909135516,SUCCESS,158.89149077727194,271.6882708906075
2159341,22,51,1,MF,VTC,HY60LF,60-ft,327.00399430859636,551.3565400081358,865.3432154399246,1.686085031388993,2.64627720303408,-7.7582517744921535,-63.42964812764621,FAILURE,FAILURE,38.00400629140852,SUCCESS,-14.47706344093154,FAILURE,258.09913549167925,276.09257763307085
2159342,22,72,1,MF,VTC,HY40LF,40-ft,159.2014838195288,257.63940374521803,403.8383997815776,1.6183228796867164,2.5366497226833,44.319254655103194,18.397446847238015,SUCCESS,FAILURE,62.26971809913424,SUCCESS,47.13126515976261,SUCCESS,101.24061382433524,162.05873528263874
2159344,22,71,1,MF,VTC,HY60LF,60-ft,239.51713197868273,402.2266405935556,633.0475880129167,1.6793230499660217,2.643015899460831,18.68321975291568,-22.242480144134156,FAILURE,FAILURE,60.8430955372632,SUCCESS,34.110862139194765,SUCCESS,237.78169942372017,317.83285047797517
2159345,22,54,1,MF,VTC,HY60LF,60-ft,188.28642927160573,318.40920064559793,499.23842464811327,1.6910894846610975,2.6514838407602657,33.54446797063867,1.4825488212565172,SUCCESS,FAILURE,53.00452368325953,SUCCESS,20.155028538318216,SUCCESS,109.75471421918138,105.31278560422811
2159346,22,57,1,MF,VTC,HY40LF,40-ft,48.08806287013204,76.13254547994308,117.83095468831877,1.5831901086460634,2.4503161004122025,76.50132172341435,69.10798675739028,SUCCESS,SUCCESS,76.50132172341435,SUCCESS,69.10798675739028,SUCCESS,0.0,0.0
2159347,22,41,2,SAT,VTC,HY40LF,40-ft,328.53674054875853,547.2864763086942,859.501191618359,1.665830358560676,2.6161493846402832,-7.036609274591167,-62.393828301127485,FAILURE,FAILURE,49.047388514151855,SUCCESS,-33.33543779939167,FAILURE,316.31374752851053,163.88932242979
2159348,22,46,2,SAT,VTC,HY40LF,40-ft,260.3344705624908,429.98226228024964,675.2133709352958,1.6516532034778564,2.5936379822326185,13.762010233998295,-29.718682789946055,FAILURE,FAILURE,61.69037895900702,SUCCESS,28.425970333496792,SUCCESS,270.3159996090492,327.9358436162179
2159349,22,45,2,SAT,VTC,HY40LF,40-ft,260.3344705624908,429.98226228024964,675.2133709352958,1.6516532034778564,2.5936379822326185,13.762010233998295,-29.718682789946055,FAILURE,FAILURE,60.17595248766045,SUCCESS,29.599622340989335,SUCCESS,261.77463431065445,334.5552409384758
