block_id,line_group,block_number,service_id,service_day,depot_code,asset_class,asset_class_new,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,avg_kwh_per_km_medium,avg_kwh_per_km_heavy,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,medium_success_on_route_charge,soc_left_heavy_percent_on_route_charge,heavy_success_on_route_charge,total_energy_received_medium,total_energy_received_heavy
2159334,22,58,1,MF,VTC,HY40LF,40-ft,55.755472012111596,86.95763390453797,134.93427920217408,1.5596251052389696,2.420108275163785,74.58197980415994,66.07548241096205,SUCCESS,SUCCESS,74.58197980415993,SUCCESS,66.07548241096205,SUCCESS,0.0,0.0
2159336,22,73,1,MF,VTC,HY40LF,40-ft,61.10985608963594,99.44381102348422,154.50845429034416,1.627295781512233,2.52837208557178,72.36811861285742,62.604883991073734,SUCCESS,SUCCESS,72.36811861285743,SUCCESS,62.60488399107372,SUCCESS,0.0,0.0
2159342,22,72,1,MF,VTC,HY40LF,40-ft,159.2014838195288,257.63940374521803,403.8383997815776,1.6183228796867164,2.5366497226833,44.319254655103194,18.397446847238015,SUCCESS,FAILURE,44.31925465510313,SUCCESS,47.13126515976261,SUCCESS,0.0,162.05873528263874
2159346,22,57,1,MF,VTC,HY40LF,40-ft,48.08806287013204,76.13254547994308,117.83095468831877,1.5831901086460634,2.4503161004122025,76.50132172341435,69.10798675739028,SUCCESS,SUCCESS,76.50132172341435,SUCCESS,69.10798675739028,SUCCESS,0.0,0.0
2159347,22,41,2,SAT,VTC,HY40LF,40-ft,328.53674054875853,547.2864763086942,859.501191618359,1.665830358560676,2.6161493846402832,-7.036609274591167,-62.393828301127485,FAILURE,FAILURE,49.047388514151855,SUCCESS,-33.33543779939167,FAILURE,316.31374752851053,163.88932242979
2159348,22,46,2,SAT,VTC,HY40LF,40-ft,260.3344705624908,429.98226228024964,675.2133709352958,1.6516532034778564,2.5936379822326185,13.762010233998295,-29.718682789946055,FAILURE,FAILURE,61.69037895900702,SUCCESS,28.425970333496792,SUCCESS,270.3159996090492,327.9358436162179
2159349,22,45,2,SAT,VTC,HY40LF,40-ft,260.3344705624908,429.98226228024964,675.2133709352958,1.6516532034778564,2.5936379822326185,13.762010233998295,-29.718682789946055,FAILURE,FAILURE,60.17595248766045,SUCCESS,29.599622340989335,SUCCESS,261.77463431065445,334.5552409384758
2159350,22,43,2,SAT,VTC,HY40LF,40-ft,339.29745357948633,558.8594510440279,877.5048388051504,1.647107707848168,2.5862405672301327,-9.088555149650329,-65.58596432715433,FAILURE,FAILURE,57.30813456874698,SUCCESS,23.886949624575475,SUCCESS,374.47733001176096,504.6272346877561
2159352,22,47,2,SAT,VTC,HY40LF,40-ft,164.55586789705316,270.12558086416425,423.4125748697477,1.6415432905325256,2.5730627554080074,42.10539346380067,14.926848427349704,SUCCESS,FAILURE,42.10539346380065,SUCCESS,35.27421263148886,SUCCESS,0.0,114.7591341113449
2159353,22,42,2,SAT,VTC,HY40LF,40-ft,196.84373090720737,327.9133472267363,514.1661567327783,1.6658561881318712,2.6120524863205192,31.85933559809641,-1.1642121866628135,SUCCESS,FAILURE,31.85933559809643,SUCCESS,18.275052875358348,FAILURE,0.0,109.6374549497994
2159354,22,44,2,SAT,VTC,HY40LF,40-ft,182.93204519408138,305.9230235266517,479.6642495599432,1.6723315108737964,2.622089798706642,35.75832916194119,4.953147241144829,SUCCESS,FAILURE,35.75832916194122,SUCCESS,23.401135182482026,SUCCESS,0.0,104.04665198914188
2159355,22,3,3,SUN,VTC,HY40LF,40-ft,314.73466850496163,521.5662357600629,819.4525187690828,1.657161691902526,2.6036296626031348,-2.476282936181363,-55.29299978175226,FAILURE,FAILURE,61.72897874963624,SUCCESS,20.925959636551784,SUCCESS,362.1176759080113,429.8749311192348
2159356,22,2,3,SUN,VTC,HY40LF,40-ft,337.7821881860046,558.6636876012087,876.5950890632416,1.6539169534113285,2.595148944267399,-9.053845319363244,-65.42466118142582,FAILURE,FAILURE,52.64294473849998,SUCCESS,4.598427610858171,FAILURE,347.9698959263485,394.9302207884816
2159357,22,6,3,SUN,VTC,HY40LF,40-ft,316.2952261535477,526.3841857702433,826.1948652635846,1.6642179275722186,2.6121003320565537,-3.330529391887112,-56.4884512878696,FAILURE,FAILURE,61.74427150505576,SUCCESS,22.21277515388877,SUCCESS,367.0218770587575,443.8749171315172
2159358,22,5,3,SUN,VTC,HY40LF,40-ft,177.57766111655707,293.4368464077054,460.0900744717731,1.6524423430439348,2.5909231576700558,37.97219035324373,8.423745661033141,SUCCESS,FAILURE,37.97219035324372,SUCCESS,45.31027493058704,SUCCESS,0.0,208.04002508028407
2159359,22,8,3,SUN,VTC,HY40LF,40-ft,164.55586789705313,270.12558086416425,423.4125748697477,1.641543290532526,2.573062755408008,42.10539346380067,14.926848427349704,SUCCESS,FAILURE,42.10539346380065,SUCCESS,41.97733575122266,SUCCESS,0.0,152.56474850664353
2159360,22,1,3,SUN,VTC,HY40LF,40-ft,198.2668634780405,327.57320037584145,513.8708985876538,1.6521832979524718,2.591814333334469,31.919645323432373,-1.1118614517116547,SUCCESS,FAILURE,31.919645323432373,SUCCESS,44.40988986191796,SUCCESS,0.0,256.74267740887115
2159361,22,7,3,SUN,VTC,HY40LF,40-ft,248.0929561672799,409.07997174179866,641.9070445805213,1.6488979697834354,2.5873650525882206,17.46809011670237,-23.81330577668817,FAILURE,FAILURE,59.71903072700565,SUCCESS,27.58999599369123,SUCCESS,238.29530504211056,289.91462198493997
