opportunity_id,block_id,line_group,block_number,asset_class_new,depot_code,service_id,service_day,mode,prev_trip_id,next_trip_id,prev_route_short_name,next_route_short_name,prev_trip_end_stop_code,next_trip_start_stop_code,prev_trip_end_stop_name,next_trip_start_stop_name,stop_code,candidate_name,start_sec,end_sec,event_type,soc_start_pct,duration_sec,duration_min,soc_end_pct,charged_kwh,start_dt,end_dt,assigned,assigned_dispenser
1,2160369,100,1,40-ft,HTC,1,MF,heavy,14842066,14842113,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,25770,26310,in_service_layover,66.1197527887524,540,9.0,72.01613976185286,33.25562252828655,07:09:30,07:18:30,True,1
2,2160383,100,2,40-ft,HTC,1,MF,heavy,14842030,14842083,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,26790,27090,in_service_layover,66.30493060721876,300,5.0,69.7378137842393,19.361461118395823,07:26:30,07:31:30,True,2
3,2160376,100,3,40-ft,HTC,1,MF,heavy,14842031,14842156,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,27630,27930,in_service_layover,67.1150612870742,300,5.0,70.49465798580593,19.06092538084704,07:40:30,07:45:30,True,3
4,2164321,410,10,40-ft,HTC,1,MF,heavy,14870639,14870615,388,388,58322,56919,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 7,58322,22nd Street Station,27990,28230,in_service_layover,66.852715722662,240,4.0,69.60336104100502,15.513639595454606,07:46:30,07:50:30,True,4
5,2160859,152,1,40-ft,PCT,1,MF,heavy,14850649,14850623,155,155,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,28050,28710,in_service_layover,63.139236147907965,660,11.0,70.60001932941003,42.0788171436717,07:47:30,07:58:30,True,5
6,2160367,100,4,40-ft,HTC,1,MF,heavy,14842059,14842155,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,28710,29490,in_service_layover,68.01955482859316,780,13.0,75.73259916891143,43.50157007939504,07:58:30,08:11:30,True,6
7,2160450,410,4,40-ft,HTC,1,MF,heavy,14873210,14874084,410,418,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,29310,29610,in_service_layover,57.28686473587919,300,5.0,61.22494287920086,22.210760728334208,08:08:30,08:13:30,True,7
8,2160377,100,5,40-ft,HTC,1,MF,heavy,14842032,14842117,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,29610,30150,in_service_layover,68.05549602910362,540,9.0,73.70835373717176,31.882117473504252,08:13:30,08:22:30,True,1
9,2160451,388,1,40-ft,HTC,1,MF,heavy,14870638,14873329,388,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,29670,29970,in_service_layover,66.50286962830155,300,5.0,69.92288279175081,19.28887424185382,08:14:30,08:19:30,True,2
10,2160373,100,6,40-ft,HTC,1,MF,heavy,14842050,14842148,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,30390,30990,in_service_layover,67.2805655912502,600,10.0,73.58343262016092,35.54817004305647,08:26:30,08:36:30,True,3
