shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,depot_code,record_type,from_stop_name,to_stop_name
51056_VTC,12.44350257995628,19.65299166859452,12.266924649122458,1.5793777951435575,0.9858096279806097,VTC,pullin,29th Avenue Station @ Bay 3,VTC
51164_VTC,13.60348570895608,19.89506399636455,12.02744303681652,1.4624975114478418,0.88414420348882,VTC,pullin,Metrotown Station @ Bay 2,VTC
60302_VTC,10.845317049552335,20.28201144126781,13.028348830808284,1.870116968328279,1.2012879633930165,VTC,pullin,Northbound Cambie St @ Dunsmuir St,VTC
VTC_51056,12.45030070736841,25.89762786457558,18.54645446374982,2.0800805115693866,1.4896390777753303,VTC,pullout,VTC,29th Avenue Station @ Bay 3
50077_VTC,10.052070559132348,17.78639583260822,11.632840749931166,1.7694260827137953,1.1572581670114404,VTC,pullin,Eastbound W Pender St @ Granville St,VTC
VTC_50688,13.284910654121196,25.868234863050883,18.36495132746736,1.9471892236645292,1.3823917830994408,VTC,pullout,VTC,Nanaimo Station @ Bay 3
VTC_61337,6.118837610178018,9.6811604561666,7.067368889322709,1.5821894733834816,1.15501821417305,VTC,pullout,VTC,Marine Drive Station @ Bay 1
VTC_50026,9.057623012727223,17.646748298719388,12.201329639646117,1.9482758637584325,1.3470785461595771,VTC,pullout,VTC,Westbound Davie St @ Howe St
VTC_60302,10.60115860385642,21.122687609353445,14.419523126610724,1.9924885947531783,1.3601836992954037,VTC,pullout,VTC,Northbound Cambie St @ Dunsmuir St
61701_VTC,15.0580453429748,22.584407690208906,14.55754328616358,1.4998233287128109,0.9667618176588422,VTC,pullin,UBC Exchange @ Bay 10,VTC
50094_50407,0.5987218966721041,1.6604484130181285,1.0775167739126394,2.7733216744659823,1.7996949500291153,VTC,interline,Westbound W Pender St @ Hamilton St,Northbound Homer St @ W Pender St
VTC_51151,10.94595228658223,23.738913957983744,17.482475724778133,2.168739031238368,1.597163523744618,VTC,pullout,VTC,Eastbound Kingsway @ Joyce St
58321_VTC,9.84486188432126,17.33004993013029,11.341302583936177,1.760314175430922,1.1520022035045632,VTC,pullin,Southbound Howe St @ Dunsmuir St,VTC
VTC_61702,15.155272717197496,29.75422349974119,21.17525456138053,1.9632918559081742,1.3972202913479637,VTC,pullout,VTC,UBC Exchange @ Bay 11
50955_VTC,16.86309263086227,28.00106314789488,18.45691624826393,1.66049394146411,1.0945154991608537,VTC,pullin,Kootenay Loop @ Bay 5,VTC
VTC_61701,15.21916131527373,29.70499205114218,21.456221309764008,1.9518153093844062,1.4098162747135647,VTC,pullout,VTC,UBC Exchange @ Bay 10
VTC_50273,12.643536177822051,26.947990926639005,19.43029685153666,2.1313650348791113,1.5367770992437404,VTC,pullout,VTC,Blanca Loop @ Bay 1
VTC_50081,10.581705596502417,21.357697877659646,15.064633330487668,2.0183606208737306,1.4236488809012982,VTC,pullout,VTC,Southbound Cambie St @ Dunsmuir St
50410_VTC,10.713760490755984,20.16903013300361,13.154792644032424,1.8825350959082756,1.2278408365935196,VTC,pullin,Southbound Cambie St @ W Hastings St,VTC
50081_VTC,10.57536557300114,19.42235939125403,12.618403335895133,1.8365662403992185,1.1931883818853373,VTC,pullin,Southbound Cambie St @ Dunsmuir St,VTC
60403_VTC,10.36532503318148,14.467502192309952,8.659684771084107,1.3957596260605996,0.8354474889463402,VTC,pullin,Southbound Joyce St @ Kingsway,VTC
VTC_54824,0.2383139707789124,0.7635671411903546,0.5222829970828123,3.2040385156383797,2.1915752373885895,VTC,pullout,VTC,Marpole Loop @ Bay 4
VTC_51134,9.135621785159747,18.632528027989448,13.489809860445332,2.0395467835869514,1.4766164994219324,VTC,pullout,VTC,Eastbound Kingsway @ E Broadway
61702_VTC,14.963197715063709,22.451698156976327,14.438085193298386,1.5004612372643995,0.9649063968969225,VTC,pullin,UBC Exchange @ Bay 11,VTC
51188_VTC,11.07695090301842,16.931541730696615,10.79154652309121,1.5285381219919325,0.9742343915373465,VTC,pullin,Westbound Kingsway @ Rhodes St,VTC
VTC_54826,7.036763188472454,15.0313843834624,10.699939953643572,2.1361219613140663,1.520576956628595,VTC,pullout,VTC,Northbound Granville St @ W 10 Ave
VTC_51061,11.332193939050676,24.32454676434924,17.802106911678504,2.1464993358900246,1.5709320725912168,VTC,pullout,VTC,Northbound Earles St @ Kingsway
VTC_51888,8.305654082225262,16.47197913757002,11.646587083368626,1.9832247977701505,1.4022480310482972,VTC,pullout,VTC,Eastbound W 41 Ave @ Crown St
VTC_58268,3.855140604454927,10.293020382363828,8.169761092202284,2.669946816069279,2.1191862840907705,VTC,pullout,VTC,Eastbound W 41 Ave @ Oak St
50445_VTC,15.244299042338476,30.24166692023305,19.51219380892964,1.983801737045561,1.2799666127473495,VTC,pullin,Westbound Eton St @ N Renfrew St,VTC
50806_VTC,3.427599645079237,2.377626413622499,1.7295740168126974,0.6936709825594392,0.5046021110708553,VTC,pullin,Southbound Oak St @ W 43 Ave,VTC
50688_VTC,13.20924085833992,21.696545124321897,13.72004742841952,1.6425277846775992,1.038670395638754,VTC,pullin,Nanaimo Station @ Bay 3,VTC
VTC_59042,1.7482367237610863,5.543007433136221,4.156389366977596,3.1706275001541084,2.377475149953209,VTC,pullout,VTC,63 Ave Loop @ Granville St
