candidate_name,installed_dispensers,total_sessions,assigned_sessions,rejected_sessions,unique_blocks_assigned,energy_assigned_kwh,coverage_pct
Surrey Central Station,11,1401,1401,0,280,52393.28167075051,100.0
22nd Street Station,7,655,655,0,117,24224.275883395694,100.0
Langley Centre,7,668,668,0,178,25462.489231732583,100.0
Newton Exchange,7,720,720,0,186,26074.07446678282,100.0
Coquitlam Central Station,6,504,504,0,94,17950.74628816554,100.0
Metrotown Station,6,622,622,0,118,22521.38459298438,100.0
Phibbs Exchange,6,344,344,0,78,13051.577972234241,100.0
Scott Road Station,5,376,376,0,67,12078.028730844057,100.0
Braid Station,4,274,274,0,63,9372.022400298243,100.0
Bridgeport Station,4,250,250,0,70,10422.653650287604,100.0
Edmonds Station,4,457,457,0,89,11923.431340263905,100.0
Lonsdale Quay,4,272,272,0,70,7929.588386655587,100.0
Lougheed Station,4,296,296,0,64,10833.38643823161,100.0
New Westminster Station,4,346,346,0,60,8970.892500990794,100.0
Richmond-Brighouse Station,4,433,433,0,77,14817.842668678735,100.0
Scottsdale Exchange,4,289,289,0,79,10670.20054170753,100.0
Joyce Station,3,186,186,0,38,5486.614056121192,100.0
Kootenay Loop,3,249,249,0,68,7734.077046026903,100.0
Port Coquitlam Station,3,196,196,0,52,7025.16736704952,100.0
Tsawwassen Ferry Terminal,3,52,52,0,10,3922.804243744858,100.0
UBC Exchange,3,98,98,0,27,3510.531344229586,100.0
Brentwood Station,2,156,156,0,33,4469.87544432112,100.0
Burquitlam Station,2,72,72,0,18,1855.672325542335,100.0
Burrard Station,2,86,86,0,44,2911.0968199619297,100.0
Capilano University,2,86,86,0,5,2174.300252032948,100.0
Haney Place,2,70,70,0,28,2290.1019819089083,100.0
Ladner Exchange,2,97,97,0,20,2540.4976240107612,100.0
Marine Drive Station,2,130,130,0,23,5900.682813684292,100.0
Marpole Loop,2,221,221,0,26,7423.677079601554,100.0
Moody Centre Station,2,16,16,0,10,373.6648395553036,100.0
Northbound Knight St Bridge Offramp,2,95,95,0,34,4498.317203331325,100.0
SFU Transit Exchange,2,175,175,0,37,5152.189160203623,100.0
Carvolth Exchange,1,19,19,0,8,654.2599453110721,100.0
Dunbar Loop,1,101,101,0,16,4213.383292050075,100.0
King George Station,1,26,26,0,16,994.8527658043305,100.0
Park Royal,1,6,6,0,1,103.9139338112144,100.0
