candidate_name,installed_dispensers,total_sessions,assigned_sessions,rejected_sessions,unique_blocks_assigned,energy_assigned_kwh,coverage_pct
Surrey Central Station,12,1246,1246,0,308,43814.27508821795,100.0
Newton Exchange,8,596,596,0,196,20645.720091934458,100.0
22nd Street Station,7,545,545,0,120,19605.565442607607,100.0
Coquitlam Central Station,6,413,413,0,101,14244.29790397521,100.0
Langley Centre,6,594,594,0,188,20712.499624727174,100.0
Metrotown Station,6,506,506,0,129,16849.998622675914,100.0
Bridgeport Station,5,281,281,0,83,11808.458971692931,100.0
Lonsdale Quay,5,289,289,0,84,8509.495857869832,100.0
Phibbs Exchange,5,293,293,0,98,10356.302437986476,100.0
Scott Road Station,5,291,291,0,70,8958.679853226713,100.0
Lougheed Station,4,196,196,0,68,6807.6105786179105,100.0
New Westminster Station,4,271,271,0,62,6739.245357321556,100.0
Richmond-Brighouse Station,4,404,404,0,79,12650.195911577284,100.0
Scottsdale Exchange,4,267,267,0,83,9283.899130246748,100.0
Braid Station,3,224,224,0,74,7494.614303669088,100.0
Edmonds Station,3,375,375,0,94,9932.210883547552,100.0
Joyce Station,3,170,170,0,43,4797.1920096720105,100.0
Kootenay Loop,3,202,202,0,63,5927.777057945857,100.0
Port Coquitlam Station,3,179,179,0,51,5909.157307674932,100.0
UBC Exchange,3,107,107,0,32,3645.513453253866,100.0
Brentwood Station,2,132,132,0,36,3395.9027338382857,100.0
Burquitlam Station,2,45,45,0,16,1269.7700793117967,100.0
Burrard Station,2,113,113,0,50,3494.321202384939,100.0
Capilano University,2,70,70,0,7,1723.585577499257,100.0
Haney Place,2,57,57,0,25,1694.1027250145864,100.0
King George Station,2,39,39,0,24,1407.4347739373313,100.0
Ladner Exchange,2,91,91,0,22,2142.3368010573504,100.0
Marine Drive Station,2,115,115,0,29,4837.582184467382,100.0
Marpole Loop,2,151,151,0,29,4720.814321230857,100.0
Moody Centre Station,2,14,14,0,8,329.08123498515135,100.0
Northbound Knight St Bridge Offramp,2,115,115,0,39,4829.867010858891,100.0
SFU Transit Exchange,2,158,158,0,37,4283.970146084367,100.0
Tsawwassen Ferry Terminal,2,19,19,0,11,1552.042749708872,100.0
Carvolth Exchange,1,16,16,0,6,530.9112364568334,100.0
Dunbar Loop,1,90,90,0,16,3426.875066290005,100.0
Park Royal,1,5,5,0,1,129.6506471276919,100.0
VCC-Clark Station,1,6,6,0,3,121.81728045748679,100.0
