dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,stop_code,charge_kwh,charge_duration_sec,candidate_name,event_type,start_sec,end_sec,block_id,mode
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159334,medium
10.5,87.989797565049,496.26245826687637,drive,11.33754173312368,0.0,,0.0,0.0,,,,,2159334,medium
27.0,85.02304800457378,479.5299907457961,drive,28.070009254203903,0.0,,0.0,0.0,,,,,2159334,medium
44.0,81.93725253523763,462.1261042987403,drive,45.47389570125969,0.0,,0.0,0.0,,,,,2159334,medium
63.0,78.97050297476243,445.3936367776601,drive,62.20636322233992,0.0,,0.0,0.0,,,,,2159334,medium
81.0,75.88470750542629,427.98975033060435,drive,79.6102496693957,0.0,,0.0,0.0,,,,,2159334,medium
87.5,74.58197980415993,420.6423660954621,drive,86.95763390453797,0.0,,0.0,0.0,,,,,2159334,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159336,medium
9.0,87.989797565049,496.26245826687637,drive,11.33754173312368,0.0,,0.0,0.0,,,,,2159336,medium
32.0,85.02304800457378,479.5299907457961,drive,28.070009254203903,0.0,,0.0,0.0,,,,,2159336,medium
48.0,82.9846204921363,468.03325957564874,drive,39.56674042435129,0.0,,0.0,0.0,,,,,2159336,medium
61.5,80.88984489401685,456.218725202255,drive,51.38127479774502,0.0,,0.0,0.0,,,,,2159336,medium
76.0,78.85141738157937,444.7219940321076,drive,62.878005967892406,0.0,,0.0,0.0,,,,,2159336,medium
89.5,76.75664178345993,432.9074596587139,drive,74.69254034128615,0.0,,0.0,0.0,,,,,2159336,medium
106.0,73.67084631412378,415.5035732116581,drive,92.09642678834194,0.0,,0.0,0.0,,,,,2159336,medium
112.5,72.36811861285743,408.1561889765158,drive,99.44381102348422,0.0,,0.0,0.0,,,,,2159336,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159342,medium
9.0,87.989797565049,496.26245826687637,drive,11.33754173312368,0.0,,0.0,0.0,,,,,2159342,medium
28.5,85.02304800457378,479.5299907457961,drive,28.070009254203903,0.0,,0.0,0.0,,,,,2159342,medium
47.0,81.93725253523763,462.1261042987403,drive,45.47389570125969,0.0,,0.0,0.0,,,,,2159342,medium
68.5,78.97050297476243,445.3936367776601,drive,62.20636322233992,0.0,,0.0,0.0,,,,,2159342,medium
87.0,75.88470750542629,427.98975033060435,drive,79.6102496693957,0.0,,0.0,0.0,,,,,2159342,medium
106.0,72.91795794495106,411.2572828095241,drive,96.34271719047592,0.0,,0.0,0.0,,,,,2159342,medium
122.0,69.83216247561492,393.8533963624683,drive,113.7466036375317,0.0,,0.0,0.0,,,,,2159342,medium
122.0,73.60587188052499,415.13711740616105,charge,113.7466036375317,21.283721043692765,50640,21.283721043692765,360.0,Dunbar Loop,in_service_layover,69090.0,69450.0,2159342,medium
138.0,70.63912232004978,398.40464988508086,drive,130.47907115861193,21.283721043692765,,0.0,0.0,,,,,2159342,medium
154.0,67.55332685071363,381.0007634380251,drive,147.8829576056677,21.283721043692765,,0.0,0.0,,,,,2159342,medium
154.0,71.52172464166,403.3825269789626,charge,147.8829576056677,43.665484584630235,50640,22.38176354093747,360.0,Dunbar Loop,in_service_layover,73770.0,74130.0,2159342,medium
168.5,68.55497508118479,386.6500594578823,drive,164.61542512674794,43.665484584630235,,0.0,0.0,,,,,2159342,medium
183.0,65.46917961184865,369.2461730108265,drive,182.01931157380372,43.665484584630235,,0.0,0.0,,,,,2159342,medium
183.0,70.84943750788632,399.59082754447894,charge,182.01931157380372,74.01013911828267,50640,30.34465453365243,480.0,Dunbar Loop,in_service_layover,78090.0,78570.0,2159342,medium
197.5,67.8826879474111,382.85836002339875,drive,198.75177909488394,74.01013911828267,,0.0,0.0,,,,,2159342,medium
212.0,64.79689247807497,365.454473576343,drive,216.15566554193973,74.01013911828267,,0.0,0.0,,,,,2159342,medium
212.0,69.62499083021196,392.68494828239557,charge,216.15566554193973,101.24061382433524,50640,27.230474706052576,420.0,Dunbar Loop,in_service_layover,82650.0,83070.0,2159342,medium
226.0,66.65824126973673,375.9524807613153,drive,232.88813306301995,101.24061382433524,,0.0,0.0,,,,,2159342,medium
238.5,63.5724458004006,358.5485943142595,drive,250.29201951007573,101.24061382433524,,0.0,0.0,,,,,2159342,medium
243.5,62.26971809913424,351.20121007911723,drive,257.63940374521803,101.24061382433524,,0.0,0.0,,,,,2159342,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159346,medium
9.0,87.989797565049,496.26245826687637,drive,11.33754173312368,0.0,,0.0,0.0,,,,,2159346,medium
24.5,85.02304800457378,479.5299907457961,drive,28.070009254203903,0.0,,0.0,0.0,,,,,2159346,medium
35.0,82.9846204921363,468.03325957564874,drive,39.56674042435129,0.0,,0.0,0.0,,,,,2159346,medium
48.0,80.88984489401685,456.218725202255,drive,51.38127479774502,0.0,,0.0,0.0,,,,,2159346,medium
66.0,77.80404942468071,438.8148387551992,drive,68.7851612448008,0.0,,0.0,0.0,,,,,2159346,medium
73.5,76.50132172341435,431.46745452005695,drive,76.13254547994308,0.0,,0.0,0.0,,,,,2159346,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159696,medium
4.5,89.4717976247628,504.6209386036622,drive,2.9790613963378383,0.0,,0.0,0.0,,,,,2159696,medium
13.0,87.39286273075678,492.8957458014682,drive,14.704254198531853,0.0,,0.0,0.0,,,,,2159696,medium
25.5,85.05934278673193,479.7346933171681,drive,27.86530668283196,0.0,,0.0,0.0,,,,,2159696,medium
38.0,82.95446215215195,467.86316653813697,drive,39.736833461863064,0.0,,0.0,0.0,,,,,2159696,medium
47.5,80.88905576628629,456.2142745218547,drive,51.38572547814533,0.0,,0.0,0.0,,,,,2159696,medium
60.0,78.81012087228027,444.4890817196607,drive,63.11091828033935,0.0,,0.0,0.0,,,,,2159696,medium
73.5,76.47660092825542,431.32802923536053,drive,76.27197076463946,0.0,,0.0,0.0,,,,,2159696,medium
89.0,74.37172029367544,419.4565024563295,drive,88.14349754367056,0.0,,0.0,0.0,,,,,2159696,medium
101.5,72.30631390780978,407.8076104400472,drive,99.79238955995282,0.0,,0.0,0.0,,,,,2159696,medium
115.5,70.22737901380376,396.08241763785315,drive,111.51758236214684,0.0,,0.0,0.0,,,,,2159696,medium
130.5,67.89385906977891,382.9213651535531,drive,124.67863484644695,0.0,,0.0,0.0,,,,,2159696,medium
146.0,65.78897843519893,371.049838374522,drive,136.55016162547807,0.0,,0.0,0.0,,,,,2159696,medium
158.5,63.72357204933328,359.4009463582397,drive,148.19905364176034,0.0,,0.0,0.0,,,,,2159696,medium
158.5,68.64751070671619,387.17196038587934,charge,148.19905364176034,27.771014027639637,61338,27.771014027639637,420.0,Marine Drive Station,in_service_layover,41190.0,41610.0,2159696,medium
