block_id,mode,line_group,block_number,asset_class_new,depot_code,service_day,prev_trip_id,next_trip_id,prev_route_short_name,next_route_short_name,prev_trip_end_stop_code,next_trip_start_stop_code,prev_trip_end_stop_name,next_trip_start_stop_name,stop_code,candidate_name,start_sec,end_sec,event_type,soc_start_pct,soc_end_pct,charged_kwh,duration_sec,duration_min,start_dt,end_dt,assigned,dispenser_idx,reject_reason,installed_dispensers
2160859,medium,152.0,1.0,40-ft,PCT,MF,14850649,14850623,155,155,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,28050,28710,in_service_layover,67.63904946444134,74.41957340238629,38.242155010009526,660,11.0,07:47:30,07:58:30,True,1,,7
2160450,medium,410.0,4.0,40-ft,HTC,MF,14873210,14874084,410,418,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,29310,29610,in_service_layover,67.90716501170951,71.2330982277316,18.7582633383646,300,5.0,08:08:30,08:13:30,True,2,,7
2160452,medium,410.0,2.0,40-ft,HTC,MF,14873248,14873345,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,30690,31350,in_service_layover,65.76739276919037,72.83692157225954,39.872142449310104,660,11.0,08:31:30,08:42:30,True,3,,7
2160369,medium,100.0,1.0,40-ft,HTC,MF,14841976,14842106,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,32490,32790,in_service_layover,68.29042227834358,71.5898359613263,18.60869317202247,300,5.0,09:01:30,09:06:30,True,4,,7
2160471,medium,410.0,12.0,40-ft,HTC,MF,14873242,14873347,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,32610,33030,in_service_layover,65.76739276919037,70.50638962967088,26.727942293110118,420,7.0,09:03:30,09:10:30,True,5,,7
2160859,medium,152.0,1.0,40-ft,PCT,MF,14850654,14850636,155,155,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,32970,33510,in_service_layover,69.53876855185975,74.99877584797258,30.794441150076295,540,9.0,09:09:30,09:18:30,True,6,,7
2160450,medium,410.0,4.0,40-ft,HTC,MF,14874049,14870624,418,388,58322,56919,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 7,58322,22nd Street Station,33030,33630,in_service_layover,65.39231993333831,71.95714707618673,37.02562508566501,600,10.0,09:10:30,09:20:30,True,7,,7
2162187,medium,410.0,3.0,40-ft,HTC,MF,14873209,14873348,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,33150,33930,in_service_layover,65.3555052801796,73.55853017905446,46.26506042965417,780,13.0,09:12:30,09:25:30,True,1,,7
2160383,medium,100.0,2.0,40-ft,HTC,MF,14841983,14842131,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,33330,33690,in_service_layover,67.85626530221604,71.79951916111888,22.239951764212037,360,6.0,09:15:30,09:21:30,True,2,,7
2160453,medium,410.0,15.0,40-ft,HTC,MF,14873238,14873350,410,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,34110,34890,in_service_layover,65.5404991485605,73.71006471456869,46.07634979228618,780,13.0,09:28:30,09:41:30,True,3,,7
