candidate_name,installed_dispensers,total_sessions,assigned_sessions,rejected_sessions,unique_blocks_assigned,energy_assigned_kwh,coverage_pct
Surrey Central Station,10,397,397,0,108,13643.284927337556,100.0
22nd Street Station,7,203,203,0,52,6895.918470392011,100.0
Langley Centre,6,195,195,0,72,7522.57763164392,100.0
Metrotown Station,6,197,197,0,56,6095.159462572541,100.0
Newton Exchange,6,195,195,0,76,7264.709834265221,100.0
Coquitlam Central Station,5,161,161,0,44,5211.010417528332,100.0
Phibbs Exchange,5,121,121,0,33,4453.232099814898,100.0
Scott Road Station,5,129,129,0,43,4420.905081742667,100.0
Bridgeport Station,4,90,90,0,26,3017.827281603779,100.0
Lonsdale Quay,4,93,93,0,25,2970.2135401675814,100.0
Lougheed Station,4,76,76,0,33,2749.62499999805,100.0
New Westminster Station,4,99,99,0,24,2488.2140878517976,100.0
Richmond-Brighouse Station,4,143,143,0,24,4230.275247060707,100.0
Scottsdale Exchange,4,88,88,0,35,3536.631465754061,100.0
Braid Station,3,101,101,0,32,2886.6160720350927,100.0
Edmonds Station,3,154,154,0,44,3904.7670333177507,100.0
Joyce Station,3,60,60,0,16,2073.800229335272,100.0
Kootenay Loop,3,76,76,0,25,2014.2574832581479,100.0
Port Coquitlam Station,3,60,60,0,17,2433.9905718887967,100.0
UBC Exchange,3,52,52,0,21,2063.4777019762905,100.0
Brentwood Station,2,54,54,0,19,1348.7735617066753,100.0
Burquitlam Station,2,27,27,0,8,772.3082757192748,100.0
Burrard Station,2,50,50,0,23,1837.7035724040147,100.0
Capilano University,2,35,35,0,5,894.2134868597333,100.0
Haney Place,2,18,18,0,10,684.9722603787272,100.0
King George Station,2,39,39,0,24,1407.4347739373313,100.0
Ladner Exchange,2,41,41,0,12,1174.7855131989613,100.0
Marine Drive Station,2,25,25,0,9,783.8667642525534,100.0
Marpole Loop,2,56,56,0,10,1751.8642187455575,100.0
Moody Centre Station,2,14,14,0,8,329.08123498515135,100.0
Northbound Knight St Bridge Offramp,2,48,48,0,15,1820.4488544016476,100.0
Carvolth Exchange,1,16,16,0,6,530.9112364568334,100.0
Dunbar Loop,1,4,4,0,1,101.24061382433524,100.0
SFU Transit Exchange,1,42,42,0,15,1087.9706468618556,100.0
VCC-Clark Station,1,5,5,0,2,91.23568620176798,100.0
