dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,stop_code,charge_kwh,charge_duration_sec,candidate_name,event_type,start_sec,end_sec,block_id,mode
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159334,medium
10.5,87.989797565049,496.26245826687637,drive,11.33754173312368,0.0,,0.0,0.0,,,,,2159334,medium
27.0,85.02304800457378,479.5299907457961,drive,28.070009254203903,0.0,,0.0,0.0,,,,,2159334,medium
44.0,81.93725253523763,462.1261042987403,drive,45.47389570125969,0.0,,0.0,0.0,,,,,2159334,medium
63.0,78.97050297476243,445.3936367776601,drive,62.20636322233992,0.0,,0.0,0.0,,,,,2159334,medium
81.0,75.88470750542629,427.98975033060435,drive,79.6102496693957,0.0,,0.0,0.0,,,,,2159334,medium
87.5,74.58197980415993,420.6423660954621,drive,86.95763390453797,0.0,,0.0,0.0,,,,,2159334,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159334,heavy
10.5,87.22953534299938,491.97457933451653,drive,15.625420665483482,0.0,,0.0,0.0,,,,,2159334,heavy
27.0,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,,0.0,0.0,,,,,2159334,heavy
44.0,77.69392823025458,438.19375521863583,drive,69.4062447813642,0.0,,0.0,0.0,,,,,2159334,heavy
63.0,72.97865394630489,411.59960825715956,drive,96.00039174284046,0.0,,0.0,0.0,,,,,2159334,heavy
81.0,68.15832111750979,384.4129311027551,drive,123.1870688972449,0.0,,0.0,0.0,,,,,2159334,heavy
87.5,66.07548241096205,372.66572079782594,drive,134.93427920217408,0.0,,0.0,0.0,,,,,2159334,heavy
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159336,medium
9.0,87.989797565049,496.26245826687637,drive,11.33754173312368,0.0,,0.0,0.0,,,,,2159336,medium
32.0,85.02304800457378,479.5299907457961,drive,28.070009254203903,0.0,,0.0,0.0,,,,,2159336,medium
48.0,82.9846204921363,468.03325957564874,drive,39.56674042435129,0.0,,0.0,0.0,,,,,2159336,medium
61.5,80.88984489401685,456.218725202255,drive,51.38127479774502,0.0,,0.0,0.0,,,,,2159336,medium
76.0,78.85141738157937,444.7219940321076,drive,62.878005967892406,0.0,,0.0,0.0,,,,,2159336,medium
89.5,76.75664178345993,432.9074596587139,drive,74.69254034128615,0.0,,0.0,0.0,,,,,2159336,medium
106.0,73.67084631412378,415.5035732116581,drive,92.09642678834194,0.0,,0.0,0.0,,,,,2159336,medium
112.5,72.36811861285743,408.1561889765158,drive,99.44381102348422,0.0,,0.0,0.0,,,,,2159336,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159336,heavy
9.0,87.22953534299938,491.97457933451653,drive,15.625420665483482,0.0,,0.0,0.0,,,,,2159336,heavy
32.0,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,,0.0,0.0,,,,,2159336,heavy
48.0,79.33219577179914,447.4335841529472,drive,60.16641584705283,0.0,,0.0,0.0,,,,,2159336,heavy
61.5,76.01115829273313,428.70293277101484,drive,78.89706722898515,0.0,,0.0,0.0,,,,,2159336,heavy
76.0,72.82909300548258,410.7560845509218,drive,96.84391544907824,0.0,,0.0,0.0,,,,,2159336,heavy
89.5,69.50805552641657,392.0254331689895,drive,115.57456683101056,0.0,,0.0,0.0,,,,,2159336,heavy
106.0,64.68772269762145,364.83875601458504,drive,142.76124398541498,0.0,,0.0,0.0,,,,,2159336,heavy
112.5,62.60488399107372,353.09154570965586,drive,154.50845429034416,0.0,,0.0,0.0,,,,,2159336,heavy
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159342,medium
9.0,87.989797565049,496.26245826687637,drive,11.33754173312368,0.0,,0.0,0.0,,,,,2159342,medium
28.5,85.02304800457378,479.5299907457961,drive,28.070009254203903,0.0,,0.0,0.0,,,,,2159342,medium
47.0,81.93725253523763,462.1261042987403,drive,45.47389570125969,0.0,,0.0,0.0,,,,,2159342,medium
68.5,78.97050297476243,445.3936367776601,drive,62.20636322233992,0.0,,0.0,0.0,,,,,2159342,medium
87.0,75.88470750542629,427.98975033060435,drive,79.6102496693957,0.0,,0.0,0.0,,,,,2159342,medium
106.0,72.91795794495106,411.2572828095241,drive,96.34271719047592,0.0,,0.0,0.0,,,,,2159342,medium
122.0,69.83216247561492,393.8533963624683,drive,113.7466036375317,0.0,,0.0,0.0,,,,,2159342,medium
122.0,73.60587188052499,415.13711740616105,charge,113.7466036375317,21.283721043692765,50640,21.283721043692765,360.0,Dunbar Loop,in_service_layover,69090.0,69450.0,2159342,medium
138.0,70.63912232004978,398.40464988508086,drive,130.47907115861193,21.283721043692765,,0.0,0.0,,,,,2159342,medium
154.0,67.55332685071363,381.0007634380251,drive,147.8829576056677,21.283721043692765,,0.0,0.0,,,,,2159342,medium
154.0,71.52172464166,403.3825269789626,charge,147.8829576056677,43.665484584630235,50640,22.38176354093747,360.0,Dunbar Loop,in_service_layover,73770.0,74130.0,2159342,medium
168.5,68.55497508118479,386.6500594578823,drive,164.61542512674794,43.665484584630235,,0.0,0.0,,,,,2159342,medium
183.0,65.46917961184865,369.2461730108265,drive,182.01931157380372,43.665484584630235,,0.0,0.0,,,,,2159342,medium
183.0,70.84943750788632,399.59082754447894,charge,182.01931157380372,74.01013911828267,50640,30.34465453365243,480.0,Dunbar Loop,in_service_layover,78090.0,78570.0,2159342,medium
197.5,67.8826879474111,382.85836002339875,drive,198.75177909488394,74.01013911828267,,0.0,0.0,,,,,2159342,medium
212.0,64.79689247807497,365.454473576343,drive,216.15566554193973,74.01013911828267,,0.0,0.0,,,,,2159342,medium
212.0,69.62499083021196,392.68494828239557,charge,216.15566554193973,101.24061382433524,50640,27.230474706052576,420.0,Dunbar Loop,in_service_layover,82650.0,83070.0,2159342,medium
226.0,66.65824126973673,375.9524807613153,drive,232.88813306301995,101.24061382433524,,0.0,0.0,,,,,2159342,medium
238.5,63.5724458004006,358.5485943142595,drive,250.29201951007573,101.24061382433524,,0.0,0.0,,,,,2159342,medium
243.5,62.26971809913424,351.20121007911723,drive,257.63940374521803,101.24061382433524,,0.0,0.0,,,,,2159342,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159342,heavy
9.0,87.22953534299938,491.97457933451653,drive,15.625420665483482,0.0,,0.0,0.0,,,,,2159342,heavy
28.5,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,,0.0,0.0,,,,,2159342,heavy
47.0,77.69392823025458,438.19375521863583,drive,69.4062447813642,0.0,,0.0,0.0,,,,,2159342,heavy
68.5,72.97865394630489,411.59960825715956,drive,96.00039174284046,0.0,,0.0,0.0,,,,,2159342,heavy
87.0,68.15832111750979,384.4129311027551,drive,123.1870688972449,0.0,,0.0,0.0,,,,,2159342,heavy
106.0,63.44304683356008,357.81878414127885,drive,149.78121585872117,0.0,,0.0,0.0,,,,,2159342,heavy
