candidate_name,installed_dispensers,total_sessions,assigned_sessions,rejected_sessions,unique_blocks_assigned,energy_assigned_kwh,coverage_pct
Surrey Central Station,12,1468,1468,0,319,54724.12484488684,100.0
22nd Street Station,7,686,686,0,142,25296.686456374246,100.0
Langley Centre,7,697,697,0,199,26640.319587810845,100.0
Newton Exchange,7,765,765,0,214,27600.815658840933,100.0
Coquitlam Central Station,6,540,540,0,116,19278.98555530085,100.0
Metrotown Station,6,692,692,0,151,24916.05210880412,100.0
Phibbs Exchange,6,374,374,0,93,14171.856147224084,100.0
Lonsdale Quay,5,301,301,0,86,8677.948854889808,100.0
Scott Road Station,5,386,386,0,75,12522.978832690866,100.0
Braid Station,4,300,300,0,78,10257.159458159531,100.0
Bridgeport Station,4,273,273,0,89,11092.97888512508,100.0
Edmonds Station,4,495,495,0,107,12968.409997691535,100.0
Lougheed Station,4,317,317,0,76,11676.813440472884,100.0
New Westminster Station,4,375,375,0,69,9870.820660324134,100.0
Richmond-Brighouse Station,4,436,436,0,80,14937.80019252743,100.0
Scottsdale Exchange,4,303,303,0,93,11380.563322954189,100.0
Joyce Station,3,205,205,0,44,6042.329394189553,100.0
Kootenay Loop,3,258,258,0,74,7973.812022578255,100.0
Port Coquitlam Station,3,194,194,0,53,7006.745263910765,100.0
Tsawwassen Ferry Terminal,3,55,55,0,12,4275.920658570386,100.0
UBC Exchange,3,118,118,0,41,4169.282978053443,100.0
Brentwood Station,2,162,162,0,39,4624.029927486653,100.0
Burquitlam Station,2,72,72,0,18,1855.672325542335,100.0
Burrard Station,2,93,93,0,50,3108.6569104137525,100.0
Capilano University,2,96,96,0,8,2425.6458479686053,100.0
Haney Place,2,71,71,0,29,2335.124732536535,100.0
King George Station,2,38,38,0,25,1303.087788872365,100.0
Ladner Exchange,2,105,105,0,27,2730.6482619238714,100.0
Marine Drive Station,2,136,136,0,26,6198.209777553429,100.0
Marpole Loop,2,236,236,0,36,7867.9439060123395,100.0
Moody Centre Station,2,20,20,0,13,464.3583756863759,100.0
Northbound Knight St Bridge Offramp,2,99,99,0,36,4669.386817513359,100.0
SFU Transit Exchange,2,183,183,0,41,5391.534590009607,100.0
Carvolth Exchange,1,20,20,0,9,690.5262611550532,100.0
Dunbar Loop,1,101,101,0,16,4213.383292050075,100.0
Park Royal,1,6,6,0,1,103.9139338112144,100.0
VCC-Clark Station,1,11,11,0,4,316.97881281885566,100.0
