dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,charge_kwh,charge_duration_sec,block_id,mode,stop_code,candidate_name,event_type,start_sec,end_sec
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159334,heavy,,,,,
10.5,87.22953534299938,491.97457933451653,drive,15.625420665483482,0.0,0.0,0.0,2159334,heavy,,,,,
27.0,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,0.0,0.0,2159334,heavy,,,,,
44.0,77.69392823025458,438.19375521863583,drive,69.4062447813642,0.0,0.0,0.0,2159334,heavy,,,,,
63.0,72.97865394630489,411.59960825715956,drive,96.00039174284046,0.0,0.0,0.0,2159334,heavy,,,,,
81.0,68.15832111750979,384.4129311027551,drive,123.1870688972449,0.0,0.0,0.0,2159334,heavy,,,,,
87.5,66.07548241096205,372.66572079782594,drive,134.93427920217408,0.0,0.0,0.0,2159334,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159336,heavy,,,,,
9.0,87.22953534299938,491.97457933451653,drive,15.625420665483482,0.0,0.0,0.0,2159336,heavy,,,,,
32.0,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,0.0,0.0,2159336,heavy,,,,,
48.0,79.33219577179914,447.4335841529472,drive,60.16641584705283,0.0,0.0,0.0,2159336,heavy,,,,,
61.5,76.01115829273313,428.70293277101484,drive,78.89706722898515,0.0,0.0,0.0,2159336,heavy,,,,,
76.0,72.82909300548258,410.7560845509218,drive,96.84391544907824,0.0,0.0,0.0,2159336,heavy,,,,,
89.5,69.50805552641657,392.0254331689895,drive,115.57456683101056,0.0,0.0,0.0,2159336,heavy,,,,,
106.0,64.68772269762145,364.83875601458504,drive,142.76124398541498,0.0,0.0,0.0,2159336,heavy,,,,,
112.5,62.60488399107372,353.09154570965586,drive,154.50845429034416,0.0,0.0,0.0,2159336,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159342,heavy,,,,,
9.0,87.22953534299938,491.97457933451653,drive,15.625420665483482,0.0,0.0,0.0,2159342,heavy,,,,,
28.5,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,0.0,0.0,2159342,heavy,,,,,
47.0,77.69392823025458,438.19375521863583,drive,69.4062447813642,0.0,0.0,0.0,2159342,heavy,,,,,
68.5,72.97865394630489,411.59960825715956,drive,96.00039174284046,0.0,0.0,0.0,2159342,heavy,,,,,
87.0,68.15832111750979,384.4129311027551,drive,123.1870688972449,0.0,0.0,0.0,2159342,heavy,,,,,
87.0,76.76267066797958,432.94146256740476,charge,123.1870688972449,48.52853146464963,48.52853146464963,900.0,2159342,heavy,50640,Dunbar Loop,in_service_layover,63510.0,64410.0
106.0,72.04739638402987,406.3473156059285,drive,149.78121585872117,48.52853146464963,0.0,0.0,2159342,heavy,,,,,
122.0,67.22706355523475,379.16063845152405,drive,176.9678930131256,48.52853146464963,0.0,0.0,2159342,heavy,,,,,
122.0,71.22228856781095,401.69370752245374,charge,176.9678930131256,71.06160053557932,22.533069070929685,360.0,2159342,heavy,50640,Dunbar Loop,in_service_layover,69090.0,69450.0
