candidate_name,installed_dispensers,total_sessions,assigned_sessions,rejected_sessions,unique_blocks_assigned,energy_assigned_kwh,coverage_pct
22nd Street Station,2,686,436,250,125,25296.686456374246,63.55685131195335
Port Coquitlam Station,2,194,193,1,53,7006.745263910765,99.48453608247422
Coquitlam Central Station,1,540,235,305,94,19278.98555530085,43.51851851851852
Marpole Loop,1,236,227,9,35,7867.9439060123395,96.1864406779661
Braid Station,0,300,0,300,0,10257.159458159531,0.0
Brentwood Station,0,162,0,162,0,4624.029927486653,0.0
Bridgeport Station,0,273,0,273,0,11092.97888512508,0.0
Burquitlam Station,0,72,0,72,0,1855.672325542335,0.0
Burrard Station,0,93,0,93,0,3108.6569104137525,0.0
Capilano University,0,96,0,96,0,2425.6458479686053,0.0
Carvolth Exchange,0,20,0,20,0,690.5262611550532,0.0
Dunbar Loop,0,101,0,101,0,4213.383292050075,0.0
Edmonds Station,0,495,0,495,0,12968.409997691535,0.0
Haney Place,0,71,0,71,0,2335.124732536535,0.0
Joyce Station,0,205,0,205,0,6042.329394189553,0.0
King George Station,0,38,0,38,0,1303.087788872365,0.0
Kootenay Loop,0,258,0,258,0,7973.812022578255,0.0
Ladner Exchange,0,105,0,105,0,2730.6482619238714,0.0
Langley Centre,0,697,0,697,0,26640.319587810845,0.0
Lonsdale Quay,0,301,0,301,0,8677.948854889808,0.0
Lougheed Station,0,317,0,317,0,11676.813440472884,0.0
Marine Drive Station,0,136,0,136,0,6198.209777553429,0.0
Metrotown Station,0,692,0,692,0,24916.05210880412,0.0
Moody Centre Station,0,20,0,20,0,464.3583756863759,0.0
New Westminster Station,0,375,0,375,0,9870.820660324134,0.0
Newton Exchange,0,765,0,765,0,27600.815658840933,0.0
Northbound Knight St Bridge Offramp,0,99,0,99,0,4669.386817513359,0.0
Park Royal,0,6,0,6,0,103.9139338112144,0.0
Phibbs Exchange,0,374,0,374,0,14171.856147224084,0.0
Richmond-Brighouse Station,0,436,0,436,0,14937.80019252743,0.0
SFU Transit Exchange,0,183,0,183,0,5391.534590009607,0.0
Scott Road Station,0,386,0,386,0,12522.978832690866,0.0
Scottsdale Exchange,0,303,0,303,0,11380.563322954189,0.0
Surrey Central Station,0,1468,0,1468,0,54724.12484488684,0.0
Tsawwassen Ferry Terminal,0,55,0,55,0,4275.920658570386,0.0
UBC Exchange,0,118,0,118,0,4169.282978053443,0.0
VCC-Clark Station,0,11,0,11,0,316.97881281885566,0.0
