block_id,mode,line_group,block_number,asset_class_new,depot_code,service_day,prev_trip_id,next_trip_id,prev_route_short_name,next_route_short_name,prev_trip_end_stop_code,next_trip_start_stop_code,prev_trip_end_stop_name,next_trip_start_stop_name,stop_code,candidate_name,start_sec,end_sec,event_type,soc_start_pct,soc_end_pct,charged_kwh,duration_sec,duration_min,start_dt,end_dt,assigned,dispenser_idx,reject_reason,installed_dispensers
2160369,heavy,100.0,1.0,40-ft,HTC,MF,14842066,14842113,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,25770,26310,in_service_layover,66.1197527887524,72.01613976185286,33.25562252828655,540,9.0,07:09:30,07:18:30,True,1,,7
2160383,heavy,100.0,2.0,40-ft,HTC,MF,14842030,14842083,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,26790,27090,in_service_layover,66.30493060721876,69.7378137842393,19.361461118395823,300,5.0,07:26:30,07:31:30,True,2,,7
2160376,heavy,100.0,3.0,40-ft,HTC,MF,14842031,14842156,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,27630,27930,in_service_layover,67.1150612870742,70.49465798580593,19.06092538084704,300,5.0,07:40:30,07:45:30,True,3,,7
2164321,heavy,410.0,10.0,40-ft,HTC,MF,14870639,14870615,388,388,58322,56919,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 7,58322,22nd Street Station,27990,28230,in_service_layover,66.852715722662,69.60336104100502,15.513639595454606,240,4.0,07:46:30,07:50:30,True,4,,7
2160859,heavy,152.0,1.0,40-ft,PCT,MF,14850649,14850623,155,155,58322,52183,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 8,58322,22nd Street Station,28050,28710,in_service_layover,63.139236147907965,70.60001932941003,42.0788171436717,660,11.0,07:47:30,07:58:30,True,5,,7
2160367,heavy,100.0,4.0,40-ft,HTC,MF,14842059,14842155,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,28710,29490,in_service_layover,68.01955482859316,75.73259916891143,43.50157007939504,780,13.0,07:58:30,08:11:30,True,6,,7
2160454,heavy,410.0,16.0,40-ft,HTC,MF,14843614,14843668,104,104,58322,53497,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 3,58322,22nd Street Station,29130,29610,in_service_layover,69.73313193871249,74.63456458239597,27.64408011037483,480,8.0,08:05:30,08:13:30,True,7,,7
2160450,heavy,410.0,4.0,40-ft,HTC,MF,14873210,14874084,410,418,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,29310,29610,in_service_layover,57.28686473587919,61.22494287920086,22.210760728334208,300,5.0,08:08:30,08:13:30,True,1,,7
2160377,heavy,100.0,5.0,40-ft,HTC,MF,14842032,14842117,100,100,58322,55933,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 6,58322,22nd Street Station,29610,30150,in_service_layover,68.05549602910362,73.70835373717176,31.882117473504252,540,9.0,08:13:30,08:22:30,True,2,,7
2160451,heavy,388.0,1.0,40-ft,HTC,MF,14870638,14873329,388,410,58322,52230,22nd Street Station @ Unloading Only,22nd Street Station @ Bay 4,58322,22nd Street Station,29670,29970,in_service_layover,66.50286962830155,69.92288279175081,19.28887424185382,300,5.0,08:14:30,08:19:30,True,3,,7
