candidate_name,installed_dispensers,total_sessions,assigned_sessions,rejected_sessions,unique_blocks_assigned,energy_assigned_kwh,coverage_pct
Surrey Central Station,10,468,468,0,117,17082.80923453033,100.0
22nd Street Station,7,258,258,0,69,9244.92667826303,100.0
Coquitlam Central Station,6,207,207,0,54,6789.410683408921,100.0
Langley Centre,6,241,241,0,79,10002.55494489508,100.0
Metrotown Station,6,266,266,0,72,8982.56999360129,100.0
Newton Exchange,6,231,231,0,83,9067.689881941922,100.0
Phibbs Exchange,6,150,150,0,36,6038.049727252471,100.0
Lonsdale Quay,5,112,112,0,31,3658.7745430293908,100.0
Scott Road Station,5,176,176,0,48,6264.990773759177,100.0
Braid Station,4,138,138,0,38,4279.752858881597,100.0
Bridgeport Station,4,99,99,0,33,3216.4672869106475,100.0
Edmonds Station,4,200,200,0,53,5131.654210278787,100.0
Lougheed Station,4,137,137,0,40,5103.855703221305,100.0
New Westminster Station,4,132,132,0,25,3361.381218431317,100.0
Richmond-Brighouse Station,4,153,153,0,24,4665.6588778619225,100.0
Scottsdale Exchange,4,105,105,0,43,4609.384454675725,100.0
Joyce Station,3,70,70,0,17,2562.4096074428917,100.0
Kootenay Loop,3,108,108,0,34,3129.123306470528,100.0
Port Coquitlam Station,3,71,71,0,19,3181.179501906677,100.0
UBC Exchange,3,71,71,0,30,2818.5490030292085,100.0
Brentwood Station,2,67,67,0,22,1715.9595570050892,100.0
Burquitlam Station,2,31,31,0,10,774.1487057149131,100.0
Burrard Station,2,49,49,0,27,1917.7219587786199,100.0
Capilano University,2,48,48,0,6,1270.4262374204689,100.0
Haney Place,2,31,31,0,13,1186.5236594361352,100.0
King George Station,2,38,38,0,25,1303.087788872365,100.0
Ladner Exchange,2,54,54,0,16,1640.0396601958296,100.0
Marine Drive Station,2,29,29,0,6,915.615447672672,100.0
Marpole Loop,2,85,85,0,17,2753.254722290793,100.0
Moody Centre Station,2,20,20,0,13,464.3583756863759,100.0
Northbound Knight St Bridge Offramp,2,38,38,0,12,1510.9088970626224,100.0
Carvolth Exchange,1,20,20,0,9,690.5262611550532,100.0
Dunbar Loop,1,5,5,0,1,162.05873528263874,100.0
SFU Transit Exchange,1,46,46,0,16,1310.9242235557945,100.0
VCC-Clark Station,1,8,8,0,3,190.75118942217125,100.0
