shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,route_id,route_short_name,route_long_name,route_direction,Asset Class,Depot Code
309728,10.63006805982149,26.59414696147627,16.732467521080224,2.5017852013567317,1.5740696510047756,6612,002,Macdonald/Burrard Station,EAST,40-ft,VTC
309729,6.622933068938258,18.73065138193232,11.814534373393736,2.8281504866445952,1.7838824959298218,6612,002,Macdonald/Burrard Station,EAST,40-ft,VTC
309730,10.059134301661954,27.186677154404435,17.40388644705579,2.7026855730430697,1.7301574792753633,6612,002,Macdonald/Burrard Station,WEST,40-ft,VTC
309731,6.398860150565636,17.946848220093084,11.496731170147385,2.8046945546241773,1.796684237446745,6612,002,Macdonald/Burrard Station,WEST,40-ft,VTC
309732,10.639660279242978,32.3861103853754,20.22098552833788,3.0439045547871295,1.9005292460124135,6613,003,Main/Waterfront Station,NORTH,60-ft Trolley,VTC
309733,10.381978503305792,30.667223400715528,19.24293609352544,2.953890088575177,1.8534941184282143,6613,003,Main/Waterfront Station,SOUTH,60-ft Trolley,VTC
309734,6.363887427611505,18.97387227513327,12.191876520079797,2.98149087188592,1.9157907267784045,6614,004,Powell/Downtown/UBC,EAST,40-ft Trolley,VTC
309735,16.241099820059816,41.26021270830185,25.61498962608225,2.5404814430941594,1.5771708757337044,6614,004,Powell/Downtown/UBC,EAST,40-ft Trolley,VTC
309736,13.681320402541608,30.456358477852884,18.517286445732363,2.2261271267497644,1.3534721723418133,6614,004,Powell/Downtown/UBC,EAST,40-ft Trolley,VTC
309737,12.423893235674097,27.5437152121682,16.859353346164127,2.216995485205788,1.3570104818475102,6614,004,Powell/Downtown/UBC,EAST,40-ft Trolley,VTC
309738,18.914499985481854,45.95232829292272,28.334394115862715,2.4294762392975873,1.4980250145449925,6614,004,Powell/Downtown/UBC,EAST,40-ft Trolley,VTC
309739,12.422054493199589,27.5437152121682,16.62698135233181,2.2173236502260485,1.3385049438830101,6614,004,Powell/Downtown/UBC,EAST,40-ft Trolley,VTC
309740,17.774162326234766,50.27002579836985,32.986840844267554,2.8282641328289775,1.855887227696733,6614,004,Powell/Downtown/UBC,WEST,40-ft Trolley,VTC
309741,14.94152464808452,45.10054261750578,29.551414908717117,3.0184699138643523,1.9778045149164587,6614,004,Powell/Downtown/UBC,WEST,40-ft Trolley,VTC
309742,9.218859993724688,28.522701219160584,18.8988484336791,3.093951013311417,2.050020115995211,6614,004,Powell/Downtown/UBC,WEST,40-ft Trolley,VTC
309743,12.232808317896014,34.91184003105552,23.279035163669636,2.853951367813159,1.9030000764103792,6614,004,Powell/Downtown/UBC,WEST,40-ft Trolley,VTC
309744,12.288023280778884,35.54208153896857,23.398811093560667,2.892416520284759,1.9041965138657777,6614,004,Powell/Downtown/UBC,WEST,40-ft Trolley,VTC
309745,12.255103723980596,34.91184003105552,23.187938352623988,2.848759244912842,1.8921046181967591,6614,004,Powell/Downtown/UBC,WEST,40-ft Trolley,VTC
309746,12.33644205921257,35.54208153896857,23.820958493951373,2.881064197308539,1.930942355957683,6614,004,Powell/Downtown/UBC,WEST,40-ft Trolley,VTC
309747,12.408719819678328,35.54208153896857,24.24160350768044,2.864282702443186,1.9535942353406168,6614,004,Powell/Downtown/UBC,WEST,40-ft Trolley,VTC
309748,12.38683451006787,35.54208153896857,24.041110932202887,2.869343375022924,1.940859943891441,6614,004,Powell/Downtown/UBC,WEST,40-ft Trolley,VTC
309749,17.733125721392277,50.26426319114984,32.62055632116809,2.8344841163852896,1.8395265918526944,6614,004,Powell/Downtown/UBC,WEST,40-ft Trolley,VTC
309750,3.5253204953303707,13.10905196837212,8.088659408866297,3.7185418987397973,2.294446538855265,6615,005,Robson/Downtown,EAST,40-ft Trolley,VTC
309751,3.53531684250798,13.10905196837212,7.785702441653751,3.708027470339111,2.2022644047175457,6615,005,Robson/Downtown,EAST,40-ft Trolley,VTC
309752,2.8659080587330936,10.55124977514084,6.31512129803474,3.6816428018298457,2.2035324122806683,6615,005,Robson/Downtown,EAST,40-ft Trolley,VTC
309754,3.6659014138118704,12.67022433926376,7.25193353429188,3.456237063966494,1.9782129183750168,6615,005,Robson/Downtown,WEST,40-ft Trolley,VTC
309755,2.079379393790577,6.326117355146999,3.312926502985713,3.0423103037560106,1.5932284954245208,6615,005,Robson/Downtown,WEST,40-ft Trolley,VTC
309756,3.1733754354778503,10.960165693229172,6.628411981992552,3.453787903787305,2.088757575888413,6615,005,Robson/Downtown,WEST,40-ft Trolley,VTC
309757,3.154260446942416,11.52028605154559,7.418687324462893,3.652293856302445,2.3519577565810086,6616,006,Davie/Downtown,EAST,40-ft Trolley,VTC
309758,3.239332807508581,10.657006903647783,6.261386681427639,3.2898771249886627,1.9329247883743579,6616,006,Davie/Downtown,WEST,40-ft Trolley,VTC
309759,1.4652465416818012,4.212130916835479,2.3916478502007825,2.8746909117429618,1.6322494421011657,6616,006,Davie/Downtown,WEST,40-ft Trolley,VTC
309760,20.08611116112425,55.65367972091017,35.880081657798854,2.770754342364953,1.78631300852517,6617,007,Nanaimo Station/Dunbar,EAST,40-ft Trolley,VTC
309761,18.8767210385954,52.7403462205426,34.05417387890078,2.7939357747942313,1.8040301495833686,6617,007,Nanaimo Station/Dunbar,EAST,40-ft Trolley,VTC
309762,20.04829762138389,55.65367972091017,35.54328561436952,2.7759803237133167,1.7728829791741711,6617,007,Nanaimo Station/Dunbar,EAST,40-ft Trolley,VTC
309763,3.649138751827191,9.938242176119337,6.915727481942249,2.7234486962555415,1.8951670386551942,6617,007,Nanaimo Station/Dunbar,EAST,40-ft Trolley,VTC
309764,18.877201071308985,52.7403462205426,34.32259376610819,2.793864727154992,1.8182035375082324,6617,007,Nanaimo Station/Dunbar,EAST,40-ft Trolley,VTC
309765,8.819984880993646,25.842194449118853,16.776320319463505,2.9299590416313177,1.9020803942209832,6617,007,Nanaimo Station/Dunbar,EAST,40-ft Trolley,VTC
309766,18.91965110675492,52.49516225703648,32.52855447534184,2.7746369085154026,1.7192999115997498,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309768,19.022755609002385,53.10268014413318,32.92286436337575,2.791534582876243,1.7307095270569128,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309769,18.877295830110764,52.48970352640988,32.40639330111747,2.7805732345776293,1.7166862029797052,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309770,3.8304360057083295,9.118822579366922,5.601412592949083,2.3806226147043166,1.4623433427948007,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309771,18.97682766517701,52.96620774015386,33.24331896533237,2.791099159178659,1.7517848373748348,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309772,18.93886044813062,52.35323112243056,33.215316167983204,2.764328469804958,1.75381809581166,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309773,10.56405280561992,31.12019195448397,19.62361118861417,2.9458572885898953,1.8575835950171227,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309774,10.526352293461615,31.12019195448397,19.85088193304997,2.95640798321125,1.8858272438193269,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309775,9.20753840980504,24.72613150978685,15.26173576252956,2.68542257542539,1.6575261577271783,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309776,18.988819135499558,52.96620774015386,33.30677908195292,2.7893365754974013,1.754020555163747,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309777,18.953583807149283,52.35323112243056,33.11083088910226,2.762181108075347,1.7469430175317489,6617,007,Nanaimo Station/Dunbar,WEST,40-ft Trolley,VTC
309778,9.49992172923047,29.85276388502852,18.642961086243897,3.1424220889288006,1.96243312498892,6618,008,Fraser/Waterfront Station,EAST,60-ft Trolley,VTC
309779,9.517494689517417,29.85276388502852,18.56373170745688,3.1366199676379543,1.9504851132623173,6618,008,Fraser/Waterfront Station,EAST,60-ft Trolley,VTC
309780,9.507832729222203,29.85276388502852,18.08120981445219,3.1398074340618582,1.9017172818869459,6618,008,Fraser/Waterfront Station,EAST,60-ft Trolley,VTC
309781,2.364598655527576,3.533435920250604,0.9012874175211136,1.4943068296138582,0.38115872873996176,6618,008,Fraser/Waterfront Station,EAST,60-ft Trolley,VTC
309782,2.368262820982927,3.533435920250604,1.0051667394636614,1.4919948448897584,0.424432090289065,6618,008,Fraser/Waterfront Station,EAST,60-ft Trolley,VTC
309783,7.636195669434389,19.83787002016752,10.72743110417586,2.597873454130191,1.4048135444086176,6618,008,Fraser/Waterfront Station,WEST,60-ft Trolley,VTC
309784,2.8874515219357457,13.80965567127548,10.10594159425188,4.782645030181319,3.4999519532978556,6618,008,Fraser/Waterfront Station,WEST,60-ft Trolley,VTC
309785,10.237683797002788,32.49558000608823,20.3822699259596,3.1741144433081363,1.99090637395216,6618,008,Fraser/Waterfront Station,WEST,60-ft Trolley,VTC
309786,10.24189051541569,32.54187629070317,20.19669379908536,3.1773310056109683,1.971969312568426,6618,008,Fraser/Waterfront Station,WEST,60-ft Trolley,VTC
309787,4.087482945795956,11.413776820246362,6.813132261250627,2.792372952157665,1.6668283027964794,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,EAST,40-ft,VTC
309788,8.89336294290079,24.19463067770313,14.404994107173454,2.7205266256469067,1.6197465682734082,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,EAST,40-ft,VTC
309791,11.84505705143998,34.36611223387865,21.018774008622152,2.901304070097394,1.7744763843131461,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,EAST,40-ft,VTC
309794,16.6497935848166,41.78278152155029,26.176017084273287,2.509507478798605,1.5721526486757116,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,EAST,40-ft,VTC
309795,11.843659708722935,34.36611223387865,21.664403931351792,2.901646372748094,1.8291984457638388,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,EAST,40-ft,VTC
309798,5.952197984219816,17.356319467666793,10.620877602601697,2.9159513029776636,1.7843622861267825,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,WEST,40-ft,VTC
309800,8.471936231035714,25.790562762753925,16.401286644333204,3.0442347604404674,1.935954921880722,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,WEST,40-ft,VTC
309801,16.74014284323205,48.98098057166142,31.97468215308043,2.9259595351340844,1.910060293542096,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,WEST,40-ft,VTC
309802,11.868263620878103,34.44020626175488,21.76323792369584,2.901874053519443,1.8337339495400955,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,WEST,40-ft,VTC
309804,8.689423407773216,26.257271358735395,17.20586746585797,3.021750710783258,1.980093115322966,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,WEST,40-ft,VTC
309807,7.072837694413116,20.791248149677287,12.568550916058168,2.9395907340133705,1.7770167306378533,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,WEST,40-ft,VTC
309810,11.869170197098404,34.44020626175488,21.61648949675019,2.9016524061786817,1.8212300554957637,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,WEST,40-ft,VTC
309811,8.468250784309944,25.790562762753925,16.492421731815732,3.045559634409851,1.9475594372303011,6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,WEST,40-ft,VTC
309814,13.429144448316336,35.870683986120696,23.097832107172398,2.6711071672639535,1.719977932776519,6620,010,Granville/Waterfront Station,NORTH,60-ft Trolley,VTC
309816,8.900457697339087,24.1204363026523,16.11190519125309,2.7100220149199106,1.8102333317161838,6620,010,Granville/Waterfront Station,NORTH,60-ft Trolley,VTC
309818,13.452898114961116,35.97672632312356,23.5133437940228,2.6742733064419366,1.7478273895402026,6620,010,Granville/Waterfront Station,NORTH,60-ft Trolley,VTC
309819,12.186817610303148,33.09017626323243,22.036437238959746,2.7152434147579982,1.8082191712075346,6620,010,Granville/Waterfront Station,NORTH,60-ft Trolley,VTC
309820,11.68196482823581,31.54267347800893,20.64854541793636,2.7001171414049234,1.767557574563822,6620,010,Granville/Waterfront Station,NORTH,60-ft Trolley,VTC
309821,11.661487393072278,31.43663856338679,20.466956240982807,2.6957657718742043,1.755089685483996,6620,010,Granville/Waterfront Station,NORTH,60-ft Trolley,VTC
309822,12.22298189557661,30.61436212907006,19.50040523178782,2.5046557698125307,1.5953885392601985,6620,010,Granville/Waterfront Station,SOUTH,60-ft Trolley,VTC
309823,12.318216265958933,31.285708874699715,19.71415712706427,2.539792141915624,1.6004068041526291,6620,010,Granville/Waterfront Station,SOUTH,60-ft Trolley,VTC
309824,12.224631790370148,30.61436212907006,19.305826160128813,2.5043177294866474,1.5792562501012763,6620,010,Granville/Waterfront Station,SOUTH,60-ft Trolley,VTC
309825,12.389749828966655,31.285708874699715,19.811778967827408,2.525128376809933,1.5990459243582462,6620,010,Granville/Waterfront Station,SOUTH,60-ft Trolley,VTC
309826,10.23776607980869,25.97007260774679,16.00034070187218,2.536693298645097,1.5628742224760006,6620,010,Granville/Waterfront Station,SOUTH,60-ft Trolley,VTC
309827,10.406259965981986,26.57624590779783,16.521281387716982,2.5538710348074574,1.587629123405044,6620,010,Granville/Waterfront Station,SOUTH,60-ft Trolley,VTC
309829,11.058870530180366,31.16721562247311,19.466810243227997,2.8183000729971277,1.7602891895787933,16718,014,Hastings/UBC,EAST,40-ft Trolley,VTC
309830,11.970725976651131,28.301996834152828,16.660816350343246,2.3642673710312803,1.3917966531720902,16718,014,Hastings/UBC,EAST,40-ft Trolley,VTC
309831,13.226927667126215,31.10730533929949,18.925355269985378,2.351816394718223,1.4308201984820597,16718,014,Hastings/UBC,EAST,40-ft Trolley,VTC
309832,17.26448069336402,47.560968000554354,29.50190811661873,2.754844981745408,1.7088210552408003,16718,014,Hastings/UBC,EAST,40-ft Trolley,VTC
309833,19.505595040162643,51.79864484139461,32.578672782150484,2.655578808784841,1.6702219396573115,16718,014,Hastings/UBC,EAST,40-ft Trolley,VTC
309843,12.408456225548449,36.420996810248255,23.937649521434757,2.9351755083971747,1.9291400224427775,16718,014,Hastings/UBC,WEST,40-ft Trolley,VTC
309844,12.476843688055675,36.12997347989585,24.08892034741887,2.895762292388401,1.930690241032647,16718,014,Hastings/UBC,WEST,40-ft Trolley,VTC
309845,18.622647526306245,51.61738253438344,32.23983185473983,2.771753181789486,1.7312163487601873,16718,014,Hastings/UBC,WEST,40-ft Trolley,VTC
309854,6.796916677952053,18.12489631712107,11.725192802194014,2.6666350605584,1.7250752595258938,6621,015,Cambie/Olympic Village Station,NORTH,40-ft,VTC
309855,6.84175179857532,18.258104750774915,11.648892016282266,2.66863009479193,1.7026183292278962,6621,015,Cambie/Olympic Village Station,SOUTH,40-ft,VTC
309856,21.88657000479992,62.24693372571557,41.20224689286655,2.8440698433817753,1.882535586153085,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309857,23.03744085999754,64.95156686859418,42.55614461677904,2.8193915836101735,1.8472600700485782,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309858,12.223738078812566,29.54940460134738,18.95326616164989,2.4173787437875025,1.550529473017884,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309859,14.103463037121248,41.58856425197487,26.6948567473234,2.9488193178165547,1.8927873726517217,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309860,21.74708633978563,61.89355528374043,40.4859432580518,2.84606196511521,1.8616720707078815,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309861,23.000844252514177,64.60586085324188,43.05658164688672,2.808847368556045,1.871956575775704,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309862,20.28770416132835,57.84548778558217,38.1084847343132,2.851258443320809,1.8784030184624905,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309863,21.50856604342011,60.75723288495871,39.73870157489508,2.82479235307021,1.8475755889385255,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309864,20.232204423444895,57.98594948303192,37.912248263721885,2.8660223211188165,1.8738565244916918,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309865,21.49364356191039,60.75723288495871,39.222071281410514,2.826753533432026,1.824821890641067,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309877,5.377459820016956,17.522216521686484,11.921850037690357,3.2584560569773324,2.217004019874344,6622,016,29th Avenue Station/Arbutus,EAST,40-ft Trolley,VTC
309880,21.654189757184906,57.43145625424596,35.93562574289088,2.6522098909376224,1.6595229905089088,6622,016,29th Avenue Station/Arbutus,WEST,40-ft Trolley,VTC
309881,21.554915805797727,57.66295847279375,35.82085425814927,2.6751650988719646,1.661841529833968,6622,016,29th Avenue Station/Arbutus,WEST,40-ft Trolley,VTC
309882,20.437835653126022,54.47493901024127,34.519368668137254,2.6653966660070085,1.688993357907613,6622,016,29th Avenue Station/Arbutus,WEST,40-ft Trolley,VTC
309883,20.51780715711673,54.248068800215,33.919123500395536,2.6439506124999674,1.653155390371747,6622,016,29th Avenue Station/Arbutus,WEST,40-ft Trolley,VTC
309884,20.37120920872716,54.47493901024127,34.13670592361069,2.674114160435005,1.6757329215875072,6622,016,29th Avenue Station/Arbutus,WEST,40-ft Trolley,VTC
309885,20.4133133677984,54.248068800215,33.74963868498731,2.6574847415897835,1.6533150732025064,6622,016,29th Avenue Station/Arbutus,WEST,40-ft Trolley,VTC
309887,6.558044990068398,15.891515219115172,9.78100883629346,2.4232092404339287,1.4914519267717692,6622,016,29th Avenue Station/Arbutus,WEST,40-ft Trolley,VTC
309895,10.510774293794974,27.98258590272544,17.975930639111844,2.6622763576271384,1.7102384787887528,6623,017,Downtown/Oak,NORTH,40-ft Trolley,VTC
309897,13.051496798360642,33.29727696496705,20.458328123145563,2.5512228581437046,1.5675081899966654,6623,017,Downtown/Oak,SOUTH,40-ft Trolley,VTC
309898,12.539999618759902,32.219444220585004,20.765183869046208,2.5693337480157936,1.6559158293738214,6623,017,Downtown/Oak,SOUTH,40-ft Trolley,VTC
309899,13.048947099671546,33.29727696496705,21.218237771417375,2.5517213542696613,1.626049796151864,6623,017,Downtown/Oak,SOUTH,40-ft Trolley,VTC
309900,12.511397215281466,32.219444220585004,20.70892698670655,2.575207522084908,1.6552049807364915,6623,017,Downtown/Oak,SOUTH,40-ft Trolley,VTC
309902,2.819064536760726,7.74465147644325,4.725227249249606,2.7472416382997453,1.6761685259888286,6624,019,Metrotown Station/Stanley Park,EAST,40-ft Trolley,VTC
309903,15.022642012117675,49.3212476142457,30.09226482336834,3.28312740025768,2.0031273326685874,6624,019,Metrotown Station/Stanley Park,EAST,40-ft Trolley,VTC
309904,15.022642012117675,49.3212476142457,30.09226482336834,3.28312740025768,2.0031273326685874,6624,019,Metrotown Station/Stanley Park,EAST,40-ft Trolley,VTC
309905,12.447643899839129,42.86400080501003,28.933024095624884,3.4435433042524615,2.324377555177234,6624,019,Metrotown Station/Stanley Park,EAST,40-ft Trolley,VTC
309906,3.200723199569288,10.781807566611684,7.157193025213557,3.368553571912298,2.236117458134674,6624,019,Metrotown Station/Stanley Park,EAST,40-ft Trolley,VTC
309907,8.987157019179927,30.403464669683476,20.71870810641712,3.382990260968844,2.305368434333608,6624,019,Metrotown Station/Stanley Park,EAST,40-ft Trolley,VTC
309908,15.022642012117675,49.3212476142457,30.09226482336834,3.28312740025768,2.0031273326685874,6624,019,Metrotown Station/Stanley Park,EAST,40-ft Trolley,VTC
309911,14.859936294208731,36.71110948345824,20.94052381961697,2.470475563059138,1.4091933777520962,6624,019,Metrotown Station/Stanley Park,WEST,40-ft Trolley,VTC
309912,14.905607408141709,36.70485909053732,21.87114066406509,2.46248663912136,1.4673095879419638,6624,019,Metrotown Station/Stanley Park,WEST,40-ft Trolley,VTC
309913,14.846744395181435,36.70485909053732,22.03910465043144,2.4722496807077796,1.4844402290366305,6624,019,Metrotown Station/Stanley Park,WEST,40-ft Trolley,VTC
309914,3.3726802036320533,10.316386359353515,6.397523669500661,3.058809533214491,1.8968663742892495,6624,019,Metrotown Station/Stanley Park,WEST,40-ft Trolley,VTC
