block_id,line_group,block_number,service_id,depot_code,asset_class_new,service_day,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,soc_left_heavy_percent_on_route_charge,total_energy_received_medium,total_energy_received_heavy,medium_success_on_route_charge,heavy_success_on_route_charge
2159334,22.0,58.0,1,VTC,40-ft,MF,55.755472012111596,86.95763390453797,134.93427920217408,74.58197980415994,66.07548241096205,SUCCESS,SUCCESS,74.58197980415993,66.07548241096205,0.0,0.0,SUCCESS,SUCCESS
2159335,22.0,53.0,1,VTC,60-ft,MF,325.4953815356894,533.1392104953966,837.4561659558741,-4.528228811240525,-58.48513580777909,FAILURE,FAILURE,60.72782269785786,27.113465128001696,368.0441305113151,482.7761092778037,SUCCESS,SUCCESS
2159336,22.0,73.0,1,VTC,40-ft,MF,61.10985608963594,99.44381102348422,154.50845429034416,72.36811861285742,62.604883991073734,SUCCESS,SUCCESS,72.36811861285743,62.60488399107372,0.0,0.0,SUCCESS,SUCCESS
2159337,22.0,55.0,1,VTC,60-ft,MF,141.5536404711145,237.6503155903796,372.1026013281818,47.86341922156391,24.024361466634442,SUCCESS,SUCCESS,50.22556006631436,26.285637636211778,13.322474364392463,12.753597596416256,SUCCESS,SUCCESS
2159338,22.0,56.0,1,VTC,60-ft,MF,239.64526820100735,395.8459083121136,621.432546819415,19.814555263809652,-20.183075677201245,FAILURE,FAILURE,58.31544993884009,28.74672804972334,217.14504596717165,275.9640930198549,SUCCESS,SUCCESS
2159339,22.0,52.0,1,VTC,60-ft,MF,185.2450702585366,304.2619348323003,477.19339898562845,36.05284843398931,5.391241314604889,SUCCESS,FAILURE,61.02951452969619,50.585098389452924,140.8683967797869,254.8933539021429,SUCCESS,SUCCESS
2159340,22.0,50.0,1,VTC,60-ft,MF,213.60168176199957,349.2233772250312,548.0775476153643,28.08096148492355,-7.176870144568139,SUCCESS,FAILURE,56.25321162273767,40.99480909135516,158.89149077727194,271.6882708906075,SUCCESS,SUCCESS
2159341,22.0,51.0,1,VTC,60-ft,MF,327.00399430859636,551.3565400081358,865.3432154399246,-7.7582517744921535,-63.42964812764621,FAILURE,FAILURE,38.00400629140852,0.0,258.09913549167925,276.09257763307085,SUCCESS,FAILURE
2159342,22.0,72.0,1,VTC,40-ft,MF,159.2014838195288,257.63940374521803,403.8383997815776,44.319254655103194,18.397446847238015,SUCCESS,FAILURE,62.26971809913424,47.13126515976261,101.24061382433524,162.05873528263874,SUCCESS,SUCCESS
2159344,22.0,71.0,1,VTC,60-ft,MF,239.51713197868273,402.2266405935556,633.0475880129167,18.68321975291568,-22.242480144134156,FAILURE,FAILURE,60.8430955372632,34.110862139194765,237.78169942372017,317.83285047797517,SUCCESS,SUCCESS
2159345,22.0,54.0,1,VTC,60-ft,MF,188.28642927160573,318.40920064559793,499.23842464811327,33.54446797063867,1.4825488212565172,SUCCESS,FAILURE,53.00452368325953,20.155028538318216,109.75471421918138,105.31278560422811,SUCCESS,SUCCESS
2159346,22.0,57.0,1,VTC,40-ft,MF,48.08806287013204,76.13254547994308,117.83095468831877,76.50132172341435,69.10798675739028,SUCCESS,SUCCESS,76.50132172341435,69.10798675739028,0.0,0.0,SUCCESS,SUCCESS
2159347,22.0,41.0,2,VTC,40-ft,SAT,328.53674054875853,547.2864763086942,859.501191618359,-7.036609274591167,-62.393828301127485,FAILURE,FAILURE,49.047388514151855,0.0,316.31374752851053,339.34055126375796,SUCCESS,FAILURE
2159348,22.0,46.0,2,VTC,40-ft,SAT,260.3344705624908,429.98226228024964,675.2133709352958,13.762010233998295,-29.718682789946055,FAILURE,FAILURE,61.69037895900702,28.425970333496792,270.3159996090492,327.9358436162179,SUCCESS,SUCCESS
2159349,22.0,45.0,2,VTC,40-ft,SAT,260.3344705624908,429.98226228024964,675.2133709352958,13.762010233998295,-29.718682789946055,FAILURE,FAILURE,60.17595248766045,29.599622340989335,261.77463431065445,334.5552409384758,SUCCESS,SUCCESS
2159350,22.0,43.0,2,VTC,40-ft,SAT,339.29745357948633,558.8594510440279,877.5048388051504,-9.088555149650329,-65.58596432715433,FAILURE,FAILURE,57.30813456874698,23.886949624575475,374.47733001176096,504.6272346877561,SUCCESS,SUCCESS
2159351,22.0,48.0,2,VTC,60-ft,SAT,263.67268484170984,450.88055291814715,711.7967299766119,10.056639553520014,-36.20509396748437,FAILURE,FAILURE,41.66661462563134,0.0679193788821614,178.28025940670778,204.57979527350736,SUCCESS,FAILURE
2159352,22.0,47.0,2,VTC,40-ft,SAT,164.55586789705316,270.12558086416425,423.4125748697477,42.10539346380067,14.926848427349704,SUCCESS,FAILURE,55.09309867946087,35.27421263148886,73.25065741632358,114.7591341113449,SUCCESS,SUCCESS
2159353,22.0,42.0,2,VTC,40-ft,SAT,196.84373090720737,327.9133472267363,514.1661567327783,31.85933559809641,-1.1642121866628135,SUCCESS,FAILURE,43.377842879571546,18.275052875358348,64.96438106751967,109.6374549497994,SUCCESS,FAILURE
2159354,22.0,44.0,2,VTC,40-ft,SAT,182.93204519408138,305.9230235266517,479.6642495599432,35.75832916194119,4.953147241144829,SUCCESS,FAILURE,49.05276902974043,23.401135182482026,74.98064085438762,104.04665198914188,SUCCESS,SUCCESS
2159355,22.0,3.0,3,VTC,40-ft,SUN,314.73466850496163,521.5662357600629,819.4525187690828,-2.476282936181363,-55.29299978175226,FAILURE,FAILURE,61.72897874963624,20.925959636551784,362.1176759080113,429.8749311192348,SUCCESS,SUCCESS
2159356,22.0,2.0,3,VTC,40-ft,SUN,337.7821881860046,558.6636876012087,876.5950890632416,-9.053845319363244,-65.42466118142582,FAILURE,FAILURE,52.64294473849998,8.296385964731707,347.9698959263485,415.78670590432836,SUCCESS,FAILURE
2159357,22.0,6.0,3,VTC,40-ft,SUN,316.2952261535477,526.3841857702433,826.1948652635846,-3.330529391887112,-56.4884512878696,FAILURE,FAILURE,61.74427150505576,22.21277515388877,367.0218770587575,443.8749171315172,SUCCESS,SUCCESS
2159358,22.0,5.0,3,VTC,40-ft,SUN,177.57766111655707,293.4368464077054,460.0900744717731,37.97219035324373,8.423745661033141,SUCCESS,FAILURE,62.40740033809069,45.31027493058704,137.8145843145369,208.04002508028407,SUCCESS,SUCCESS
2159359,22.0,8.0,3,VTC,40-ft,SUN,164.55586789705313,270.12558086416425,423.4125748697477,42.10539346380067,14.926848427349704,SUCCESS,FAILURE,64.78977965548177,41.97733575122266,127.9399381210813,152.56474850664353,SUCCESS,SUCCESS
2159360,22.0,1.0,3,VTC,40-ft,SUN,198.2668634780405,327.57320037584145,513.8708985876538,31.919645323432373,-1.1118614517116547,SUCCESS,FAILURE,64.81401826904793,44.40988986191796,185.52426341327185,256.74267740887115,SUCCESS,SUCCESS
2159361,22.0,7.0,3,VTC,40-ft,SUN,248.0929561672799,409.07997174179866,641.9070445805213,17.46809011670237,-23.81330577668817,FAILURE,FAILURE,59.71903072700565,27.58999599369123,238.29530504211056,289.91462198493997,SUCCESS,SUCCESS
2159362,22.0,4.0,3,VTC,40-ft,SUN,177.57766111655707,293.4368464077054,460.0900744717731,37.97219035324373,8.423745661033141,SUCCESS,FAILURE,63.706348156819246,46.70947828956826,145.14065001216596,215.93153202493812,SUCCESS,SUCCESS
2159363,3.0,22.0,1,VTC,60-ft Trolley,MF,151.2412480153027,281.2254115705872,448.4974823974566,40.13733837400937,10.479169787685,SUCCESS,FAILURE,59.16892908182263,51.92994581368362,107.33817159206694,233.78237678663208,SUCCESS,SUCCESS
2159364,3.0,8.0,1,VTC,60-ft Trolley,MF,46.13305410255888,83.9058034612706,133.23081346700212,75.12308449268252,66.37751534273012,SUCCESS,SUCCESS,75.12308449268251,66.37751534273013,0.0,0.0,SUCCESS,SUCCESS
2159365,3.0,2.0,1,VTC,60-ft Trolley,MF,256.34944192804653,478.5450196799039,763.7641513279116,5.151592255336197,-45.4191757673602,FAILURE,FAILURE,66.54933066504934,35.318029612199396,346.2832446307822,455.3578383407157,SUCCESS,SUCCESS
2159366,3.0,7.0,1,VTC,60-ft Trolley,MF,109.19797045020516,202.29756832686056,322.39081482527484,54.13163682147864,32.83850800970304,SUCCESS,SUCCESS,63.90798481857885,59.033178940463785,55.13860270364535,147.73794404949052,SUCCESS,SUCCESS
2159367,3.0,5.0,1,VTC,60-ft Trolley,MF,256.34944192804653,478.5450196799039,763.7641513279116,5.151592255336197,-45.4191757673602,FAILURE,FAILURE,63.12037697685129,41.29153639761852,326.94394582934524,489.04841661047965,SUCCESS,SUCCESS
2159368,3.0,1.0,1,VTC,60-ft Trolley,MF,172.26288679785145,320.68933319245053,511.5508161835475,33.140189150274736,-0.7004993233240226,SUCCESS,FAILURE,69.23906998347152,55.67944895768311,203.59768789923004,317.98290830488025,SUCCESS,SUCCESS
2159369,3.0,3.0,1,VTC,60-ft Trolley,MF,256.34944192804653,478.5450196799039,763.7641513279116,5.151592255336197,-45.4191757673602,FAILURE,FAILURE,63.8359894793345,51.96394882967692,330.9800003433505,549.240822727289,SUCCESS,SUCCESS
2159370,3.0,4.0,1,VTC,60-ft Trolley,MF,193.2845255804002,360.15325481431387,574.6041499696386,26.143039926540094,-11.880168434333076,SUCCESS,FAILURE,67.27298758747868,55.97192829431179,231.97290480769374,382.68582554955685,SUCCESS,SUCCESS
2159371,3.0,23.0,1,VTC,60-ft Trolley,MF,46.13305410255888,83.9058034612706,133.23081346700212,75.12308449268252,66.37751534273012,SUCCESS,SUCCESS,75.12308449268251,66.37751534273013,0.0,0.0,SUCCESS,SUCCESS
2159372,3.0,6.0,1,VTC,60-ft Trolley,MF,193.2845255804002,360.15325481431387,574.6041499696386,26.143039926540094,-11.880168434333076,SUCCESS,FAILURE,71.62889915817455,57.13014365486105,256.54024606641843,389.2181601830547,SUCCESS,SUCCESS
2159373,3.0,10.0,2,VTC,60-ft Trolley,SAT,109.19797045020516,202.29756832686056,322.39081482527484,54.13163682147864,32.83850800970304,SUCCESS,SUCCESS,70.92879743597005,61.9893692976428,94.73598586573166,164.4108576639801,SUCCESS,SUCCESS
2159374,3.0,3.0,2,VTC,60-ft Trolley,SAT,214.30616436294898,399.6171764361772,637.6574837557296,19.145890702805467,-23.05983754534212,FAILURE,FAILURE,68.67411582184337,50.12830616508486,279.3391896713739,412.78113052680794,SUCCESS,SUCCESS
2159375,3.0,2.0,2,VTC,60-ft Trolley,SAT,151.2412480153027,281.2254115705872,448.4974823974566,40.13733837400937,10.479169787685,SUCCESS,FAILURE,64.58898158270682,56.9777147212707,137.90726769705378,262.25179342542333,SUCCESS,SUCCESS
2159376,3.0,8.0,2,VTC,60-ft Trolley,SAT,172.26288679785145,320.68933319245053,511.5508161835475,33.140189150274736,-0.7004993233240226,SUCCESS,FAILURE,68.51735423736682,57.475355998442815,199.5272110911995,328.1118240147649,SUCCESS,SUCCESS
